Index,team_name,total_runs,balls_faced,run_rate,sixes,boundaries,runs_conceded,wickets,balls_bowled,economy
1,Chennai Super Kings,31105,22610,8.25,1166,2606,29810,1208,22395,7.99
2,Deccan Chargers,11463,8754,7.86,400,957,11618,446,8718,8.0
3,Delhi Capitals,7804,5742,8.15,242,708,7812,317,5802,8.08
4,Delhi Daredevils,24296,18166,8.02,801,2156,24730,912,18100,8.2
5,Gujarat Lions,4862,3444,8.47,155,460,5090,151,3450,8.85
6,Kings XI Punjab,30064,21915,8.23,1075,2631,30461,1076,21683,8.43
7,Kochi Tuskers Kerala,1901,1510,7.55,53,170,1986,74,1556,7.66
8,Kolkata Knight Riders,31978,23692,8.1,1116,2844,31960,1191,23885,8.03
9,Mumbai Indians,34446,25179,8.21,1312,2984,33331,1324,25206,7.93
10,Pune Warriors,6358,5276,7.23,196,525,6857,238,5313,7.74
11,Punjab Kings,2150,1619,7.97,93,155,2117,79,1600,7.94
12,Rajasthan Royals,26738,19989,8.03,876,2389,27264,991,19969,8.19
13,Rising Pune Supergiant,2470,1843,8.04,89,197,2436,113,1865,7.84
14,Rising Pune Supergiants,2063,1522,8.13,68,171,2113,76,1556,8.15
15,Royal Challengers Bangalore,32558,23721,8.24,1279,2725,32932,1214,23909,8.26
16,Sunrisers Hyderabad,21446,16007,8.04,683,1802,21185,829,15982,7.95
